Config,Model,n,CV_scheme,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n_folds
C_P3,XGBoost,34,grouped_5fold,-20.62074720044606,40.61423979787446,80.21633718563665,52.542275258833406,158.00021082402682,138.77949301710748,5
C_P3,CatBoost,34,standard_5fold,-1.6144836653194603,3.074553668058385,68.14578306968528,56.91596094122671,114.55558853572134,113.4393343271157,5
C_P3,CatBoost,34,grouped_5fold,-5.104035549065655,9.016809593828556,72.85376057738873,40.21308542318592,125.9289712085797,107.86755832032377,5
D_P1P2,Ridge,268,standard_5fold,0.719453896607547,0.03506124189196453,28.271712298370993,3.208339002388223,44.585519096768145,9.929686709603395,5
D_P1P2,Ridge,268,grouped_5fold,-0.31858827977255955,1.1491302470333842,35.0856949205598,10.20666982003192,53.93007327933448,25.76498972561821,5
D_P1P2,RandomForest,268,standard_5fold,0.9410073512125152,0.012465644100455997,11.62495511058837,2.164706569638887,20.18607004414239,4.131282857203682,5
D_P1P2,RandomForest,268,grouped_5fold,-0.1689824770651322,0.9646132118628351,35.13166252346652,21.85044798815276,57.02858523917471,37.09598915957303,5
D_P1P2,XGBoost,268,standard_5fold,0.9641919234494889,0.014169860781598657,8.150933187235392,1.77325146413782,15.526762778380913,3.503720601748485,5
D_P1P2,XGBoost,268,grouped_5fold,0.40382538432432363,0.23065410004971978,28.486418659540455,19.585661616995452,47.34338384610477,33.334871170822844,5
D_P1P2,CatBoost,268,standard_5fold,0.9710036345449062,0.012338552345425031,7.192124200551132,1.8142316400952463,13.891377699291017,4.967645376260635,5
D_P1P2,CatBoost,268,grouped_5fold,0.4206028560042153,0.20274454327757457,29.28984169879218,19.50534722562091,47.39796882522969,33.41753206613273,5
E_P1P2P3,Ridge,302,standard_5fold,0.4978455491663703,0.28726779053087687,35.75688980499997,5.731668510431783,68.31689302662667,29.858202238916988,5
E_P1P2P3,Ridge,302,grouped_5fold,-0.985427360433585,1.41089288043686,42.15356526183904,11.697348256656925,77.38859475986816,34.51239985491881,5
E_P1P2P3,RandomForest,302,standard_5fold,0.6203693632148477,0.38075496706603285,17.021429228146957,4.8788434842391855,50.79078691622541,35.85820465096915,5
E_P1P2P3,RandomForest,302,grouped_5fold,0.05652279233451567,0.13963174274853088,36.51274869349007,19.397563300917472,70.42881434812968,45.39927977709209,5
E_P1P2P3,XGBoost,302,standard_5fold,0.3638712630041711,0.8517925474002159,15.453197931902816,6.752193954240907,55.74304577502845,46.2688109659354,5
E_P1P2P3,XGBoost,302,grouped_5fold,0.05159896567452273,0.4052331674724601,35.2392967862162,20.774481625976552,74.66452106178967,54.125522499270176,5
E_P1P2P3,CatBoost,302,standard_5fold,0.607911728281049,0.4304016789863357,14.858252704141231,4.73726336562589,48.70188700181003,39.185742372225214,5
E_P1P2P3,CatBoost,302,grouped_5fold,0.041029727823077386,0.5090328662754571,32.82750278853873,21.91929756556162,69.79107044430972,47.82447731355549,5
F_P1P2_noIdentity,Ridge,268,standard_5fold,0.7182458303301412,0.03518673850456533,28.68449614256383,3.404503914358253,44.680425950040046,9.949246232351861,5
F_P1P2_noIdentity,Ridge,268,grouped_5fold,-0.31693742750940396,1.1406094823300144,35.52958514673842,10.324485058354528,53.98853368134822,25.780344846841206,5
F_P1P2_noIdentity,RandomForest,268,standard_5fold,0.9401736029729344,0.012016784345072444,11.795468569066028,2.207121177400872,20.376641254430826,4.296952298024064,5
F_P1P2_noIdentity,RandomForest,268,grouped_5fold,-0.17813560723144428,0.9536059253263157,35.908938853042194,21.664235685895772,57.59178964886529,36.75948911183698,5
F_P1P2_noIdentity,XGBoost,268,standard_5fold,0.9667810702166785,0.010194750233699952,8.225762136096133,1.888960024739728,15.19683398824284,3.7676920595750443,5
F_P1P2_noIdentity,XGBoost,268,grouped_5fold,0.4018846726818179,0.22858474920301602,28.713472770964273,19.501913618827647,47.40165639856262,33.29856118105358,5
F_P1P2_noIdentity,CatBoost,268,standard_5fold,0.9707328273318492,0.013762482395684096,7.526569767056415,2.1696771722429684,14.164737157729334,5.838831628961653,5
F_P1P2_noIdentity,CatBoost,268,grouped_5fold,0.4478807752051403,0.13613115213287794,29.74808845031697,19.82234189011584,47.60172270687471,33.614080335911055,5
G_P1P2P3_noIdentity,Ridge,302,standard_5fold,0.5135660674044212,0.2556002506053458,36.10695047941927,5.5987760691139155,67.37622453164197,27.927025460570853,5
G_P1P2P3_noIdentity,Ridge,302,grouped_5fold,-0.8419022682543323,1.2742735243335308,41.93423397624641,10.07661940482611,75.21124400334591,33.47750614530494,5
G_P1P2P3_noIdentity,RandomForest,302,standard_5fold,0.6083112653840927,0.3765067246759868,19.706588818993357,5.025976913748969,52.358600601577564,34.28701795799417,5
G_P1P2P3_noIdentity,RandomForest,302,grouped_5fold,-0.08784155452693035,0.43837275247544644,38.36223964461239,20.05241963870313,72.19645739228335,44.51525899116208,5
G_P1P2P3_noIdentity,XGBoost,302,standard_5fold,0.3272916541824685,0.8360716259420913,19.561847275399632,5.805507444566559,61.479017330369786,41.97126890833476,5
G_P1P2P3_noIdentity,XGBoost,302,grouped_5fold,-0.3302626257210354,0.5107539761117103,39.8003864858906,20.13299192245435,80.02434361905482,49.55492885937324,5
G_P1P2P3_noIdentity,CatBoost,302,standard_5fold,0.35255531706234,0.8064815972322971,18.679944671854155,5.5695375634886215,59.923594442934096,42.054773226209655,5
G_P1P2P3_noIdentity,CatBoost,302,grouped_5fold,-0.07365184593396276,0.3708344363090115,35.70917304128126,22.67427783398896,74.82432498297251,51.85243120393269,5
