Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,2.12,84.02
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,12.9,62.0
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,3.22,68.67
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.64979,87.5411
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.81521,86.2919
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,10.0,2.16,86.2
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,2.16,83.66
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,18.3333,2.31,83.4889
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,12.38,69.06
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.72934,86.6111
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.08945,89.7502
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.49428,87.7643
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,20.0,2.14,81.12
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,15.0,1.87,85.86
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,10.0,2.19,85.99
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.35063,88.4689
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,5.0,2.65098,86.9955
P1-DoE-Blend,P1,Ternary Blend (BL+PP+SW),Weight loss,Acid,,15.0,mL_blend,,,25.0,3.22,61.95
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,30.0,6.0,15.7,32.7
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,30.0,6.0,14.4,38.3
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,30.0,6.0,10.0,57.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,30.0,6.0,4.0,82.7
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,30.0,6.0,2.1,90.8
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,30.0,6.0,23.3,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,40.0,6.0,34.1,31.1
