Study,Dose_Value,actual_IE,predicted_IE_from_CR,abs_diff
P2-Time,250.0,39.0,39.156626506024104,0.15662650602410366
P2-Time,350.0,73.0,72.89156626506025,0.1084337349397515
P2-Time,450.0,74.9,74.6987951807229,0.20120481927710898
P2-Time,50.0,34.7,34.81481481481481,0.11481481481480671
P2-Time,150.0,38.7,38.88888888888889,0.18888888888889
P2-Time,250.0,69.4,69.25925925925925,0.14074074074075327
P2-Time,350.0,73.4,73.33333333333334,0.06666666666666288
P2-Time,450.0,88.7,88.88888888888889,0.1888888888888829
P2-Time,50.0,35.0,34.934934934934944,0.06506506506505616
P2-Time,150.0,37.9,37.937937937937946,0.0379379379379472
P2-Time,250.0,67.0,66.96696696696696,0.03303303303303551
P2-Time,350.0,74.0,73.97397397397397,0.02602602602603099
P2-Time,450.0,85.0,84.98498498498499,0.01501501501500968
P2-Time,50.0,31.0,30.82191780821918,0.1780821917808204
P2-Time,150.0,36.0,35.95890410958904,0.041095890410957736
P2-Time,250.0,67.0,67.12328767123287,0.12328767123287321
P2-Time,350.0,73.0,72.94520547945204,0.05479452054795786
P2-Time,450.0,80.9,80.82191780821918,0.07808219178082254
P2-Time,50.0,25.0,24.817518248175176,0.18248175182482385
P2-Time,150.0,29.2,29.197080291970806,0.0029197080291929467
P2-Time,250.0,62.5,62.40875912408759,0.09124087591241192
P2-Time,350.0,69.8,69.7080291970803,0.09197080291970394
P2-Time,450.0,75.0,74.81751824817519,0.18248175182480963
P2-Time,50.0,28.1,27.95698924731183,0.14301075268816987
P2-Time,150.0,30.0,30.107526881720435,0.10752688172043534
P2-Time,250.0,63.0,62.903225806451616,0.09677419354838435
P2-Time,350.0,71.2,70.96774193548387,0.23225806451613096
P2-Time,450.0,76.8,76.88172043010752,0.08172043010752361
P2-Time,50.0,21.8,21.851851851851848,0.05185185185184693
P2-Time,150.0,63.7,63.703703703703695,0.0037037037036924403
P2-Time,250.0,76.6,76.66666666666666,0.06666666666666288
P2-Time,350.0,83.9,83.70370370370371,0.1962962962962962
P2-Time,450.0,92.7,92.5925925925926,0.10740740740740762
P2-Time,50.0,47.7,47.72727272727273,0.027272727272723785
P2-Time,150.0,72.0,71.96969696969697,0.030303030303031164
P2-Time,250.0,81.1,81.06060606060606,0.03939393939393199
P2-Time,350.0,88.1,87.87878787878788,0.22121212121211897
P2-Time,450.0,92.2,92.04545454545455,0.1545454545454561
P2-Time,50.0,44.1,44.09722222222222,0.0027777777777799884
P2-Time,150.0,65.0,64.93055555555557,0.06944444444442865
P2-Time,250.0,74.1,73.95833333333334,0.1416666666666515
P2-Time,350.0,80.1,80.20833333333334,0.10833333333334849
P2-Time,450.0,89.2,89.2361111111111,0.036111111111097216
P2-Time,50.0,39.0,39.18128654970761,0.1812865497076075
P2-Time,150.0,61.0,61.111111111111114,0.11111111111111427
P2-Time,250.0,67.0,66.95906432748538,0.040935672514621047
P2-Time,350.0,76.0,76.0233918128655,0.02339181286549774
P2-Time,450.0,90.0,90.05847953216374,0.05847953216374435
P2-Time,50.0,36.0,36.0,0.0
P2-Time,150.0,60.0,60.0,0.0
P2-Time,250.0,68.3,68.4,0.10000000000000853
